PartNumber,Desc,SUnder,Supercession,SurchVal,RRP,Stklevel
IIS085,IGNITION COIL       ,,                      ,,14.9,Good
CU1104,IGNITION COIL       ,,                      ,,14.9,Good
11105,IGNITION COIL       ,,                      ,,18.07,Good
DLB105,IGNITION COIL       ,,                      ,,18.530000000000001,Good
IIS420,IGNITION COIL       ,,                      ,,18.07,Good
11111,IGNITION COIL       ,,                      ,,18.199999999999999,Good
DLB120,IGNITION COIL       ,,                      ,,18.68,Good
CP470,IGNITION COIL       ,,                      ,,12.74,Good
IIS103,IGNITION COIL       ,,                      ,,18.199999999999999,Good
11170,IGNITION COIL       ,,                      ,,19.66,Less than 10
DLB406,IGNITION COIL       ,,                      ,,20.170000000000002,Less than 10
CP471,IGNITION COIL       ,,                      ,,13.76,Less than 10
IIS195,IGNITION COIL       ,,                      ,,19.66,Less than 10
1121656,DIESEL INJECTOR SEAL,,                      ,,18.949999999999999,Good
11220,IGNITION COIL       ,,                      ,,15.869999999999999,Good
DLB237,IGNITION COIL       ,,                      ,,16.280000000000001,Good
CP472,IGNITION COIL       ,,                      ,,11.109999999999999,Good
IIS138,IGNITION COIL       ,,                      ,,15.869999999999999,Good
11270,IGNITION COIL       ,,                      ,,37.149999999999999,Good
DLB222,IGNITION COIL       ,,                      ,,39.009999999999998,Good
CP473,IGNITION COIL       ,,                      ,,26.010000000000002,Good
IIS222,IGNITION COIL       ,,                      ,,37.149999999999999,Good
11280,IGNITION COIL       ,,                      ,,21.739999999999998,Less than 10
DLB238,IGNITION COIL       ,,                      ,,22.309999999999999,Less than 10
CP474,IGNITION COIL       ,,                      ,,15.220000000000001,Less than 10
IIS154,IGNITION COIL       ,,                      ,,21.739999999999998,Less than 10
11290,BALLAST RESISTOR    ,,                      ,,5.3200000000000003,Good
SCB400,BALLAST RESISTOR    ,,                      ,,5.4500000000000002,Good
LBR001,BALLAST RESISTOR    ,,                      ,,3.7200000000000002,Good
IBR001,BALLAST RESISTOR    ,,                      ,,5.3200000000000003,Good
11350,IGNITION COIL       ,,                      ,,17.16,Good
DLB405,IGNITION COIL       ,,                      ,,17.609999999999999,Good
CP476,IGNITION COIL       ,,                      ,,12.01,Good
IIS200,IGNITION COIL       ,,                      ,,17.16,Good
CU1497,IGNITION COIL       ,,                      ,,17.16,Good
11390,IGNITION COIL       ,,                      ,,16.329999999999998,Good
DLB402,IGNITION COIL       ,,                      ,,16.760000000000002,Good
CP478,IGNITION COIL       ,,                      ,,11.43,Good
IIS148,IGNITION COIL       ,,                      ,,16.329999999999998,Good
11400,IGNITION COIL       ,,                      ,,20.649999999999999,Good
DLB247,IGNITION COIL       ,,                      ,,21.190000000000001,Good
CP479,IGNITION COIL       ,,                      ,,14.460000000000001,Good
IIS135,IGNITION COIL       ,,                      ,,20.649999999999999,Good
CU1493,IGNITION COIL       ,,                      ,,20.649999999999999,Good
11410,IGNITION COIL       ,,                      ,,16.98,Good
DLB198,IGNITION COIL       ,,                      ,,17.440000000000001,Good
CP480,IGNITION COIL       ,,                      ,,11.890000000000001,Good
IIS088,IGNITION COIL       ,,                      ,,16.98,Good
CU1108,IGNITION COIL       ,,                      ,,16.98,Good
11420,IGNITION COIL       ,,                      ,,16.440000000000001,Less than 10
DLB401,IGNITION COIL       ,,                      ,,16.870000000000001,Less than 10
CP481,IGNITION COIL       ,,                      ,,11.51,Less than 10
IIS162,IGNITION COIL       ,,                      ,,16.440000000000001,Less than 10
CU1494,IGNITION COIL       ,,                      ,,16.440000000000001,Less than 10
11480,IGNITION COIL       ,,                      ,,22.260000000000002,Less than 10
DLB403,IGNITION COIL       ,,                      ,,22.850000000000001,Less than 10
CP482,IGNITION COIL       ,,                      ,,15.58,Less than 10
IIS113,IGNITION COIL       ,,                      ,,22.260000000000002,Less than 10
11490,IGNITION COIL       ,,                      ,,23.219999999999999,Good
DMB2087,IGNITION COIL       ,,                      ,,23.829999999999998,Good
CP484,IGNITION COIL       ,,                      ,,16.25,Good
IIS139,IGNITION COIL       ,,                      ,,23.219999999999999,Good
CU1495,IGNITION COIL       ,,                      ,,23.219999999999999,Good
11500,IGNITION COIL       ,,                      ,,21.989999999999998,Good
DLB310,IGNITION COIL       ,,                      ,,22.57,Good
CP485,IGNITION COIL       ,,                      ,,15.390000000000001,Good
IIS124,IGNITION COIL       ,,                      ,,21.989999999999998,Good
CU1096,IGNITION COIL       ,,                      ,,21.989999999999998,Good
11510,IGNITION COIL       ,,                      ,,25.289999999999999,Good
DMB1114,IGNITION COIL       ,,                      ,,25.960000000000001,Good
CP486,IGNITION COIL       ,,                      ,,17.699999999999999,Good
IIS156,IGNITION COIL       ,,                      ,,25.289999999999999,Good
CU1333,IGNITION COIL       ,,                      ,,25.289999999999999,Good
11770,IGNITION COIL       ,,                      ,,17.120000000000001,Less than 10
DLB407,IGNITION COIL       ,,                      ,,17.57,Less than 10
CP487,IGNITION COIL       ,,                      ,,11.98,Less than 10
IIS422,IGNITION COIL       ,,                      ,,17.120000000000001,Less than 10
11791,IGNITION COIL       ,,                      ,,27.670000000000002,Good
DLB170,IGNITION COIL       ,,                      ,,28.399999999999999,Good
CP488,IGNITION COIL       ,,                      ,,19.370000000000001,Good
IIS230,IGNITION COIL       ,,                      ,,27.670000000000002,Good
11792,AUXILLIARY COIL     ,,                      ,,27.670000000000002,Good
CP489,IGNITION COIL       ,,                      ,,19.370000000000001,Good
IIS490,AUXILLIARY COIL     ,,                      ,,27.670000000000002,Good
12010,IGNITION COIL       ,,                      ,,19.739999999999998,Less than 10
DLB700,IGNITION COIL       ,,                      ,,20.27,Less than 10
CP041,IGNITION COIL       ,,                      ,,12.43,Less than 10
IIS150,IGNITION COIL       ,,                      ,,19.739999999999998,Less than 10
CU1448,IGNITION COIL       ,,                      ,,19.739999999999998,Less than 10
12100,IGNITION COIL       ,,                      ,,29.649999999999999,Good
DMB2103,IGNITION COIL       ,,                      ,,30.440000000000001,Good
CP042,IGNITION COIL       ,,                      ,,18.68,Good
IIS388,IGNITION COIL       ,,                      ,,29.649999999999999,Good
CU1518,IGNITION COIL       ,,                      ,,29.649999999999999,Good
12103,IGNITION COIL       ,,                      ,,32.210000000000001,Less than 5
DMB991,IGNITION COIL       ,,                      ,,33.049999999999997,Less than 5
CP045,IGNITION COIL       ,,                      ,,20.289999999999999,Less than 5
IIS391,IGNITION COIL       ,,                      ,,32.210000000000001,Less than 5
CU1061,IGNITION COIL       ,,                      ,,32.210000000000001,Less than 5
12104,IGNITION COIL       ,,                      ,,31.809999999999999,Less than 5
DMB1082,IGNITION COIL       ,,                      ,,32.640000000000001,Less than 5
CP046,IGNITION COIL       ,,                      ,,20.039999999999999,Less than 5
IIS392,IGNITION COIL       ,,                      ,,31.809999999999999,Less than 5
CU1016,IGNITION COIL       ,,                      ,,31.809999999999999,Less than 5
12105,IGNITION COIL       ,,                      ,,22.5,Less than 10
DMB987,IGNITION COIL       ,,                      ,,23.629999999999999,Less than 10
CP047,IGNITION COIL       ,,                      ,,14.18,Less than 10
IIS393,IGNITION COIL       ,,                      ,,22.5,Less than 10
CU1025,IGNITION COIL       ,,                      ,,22.5,Less than 10
12107,IGNITION COIL       ,,                      ,,30,Good
DMB1105,IGNITION COIL       ,,                      ,,31.5,Good
CP049,IGNITION COIL       ,,                      ,,18.899999999999999,Good
IIS395,IGNITION COIL       ,,                      ,,30,Good
CU1310,IGNITION COIL       ,,                      ,,30,Good
12109,IGNITION COIL       ,,                      ,,121.78,1 Left
DMB1122,IGNITION COIL       ,,                      ,,127.87,1 Left
CP051,IGNITION COIL       ,,                      ,,76.719999999999999,1 Left
IIS397,IGNITION COIL       ,,                      ,,121.78,1 Left
CU1382,IGNITION COIL       ,,                      ,,121.78,1 Left
12111,IGNITION COIL       ,,                      ,,17.809999999999999,Good
DMB1130,IGNITION COIL       ,,                      ,,18.280000000000001,Good
CP052,IGNITION COIL       ,,                      ,,11.220000000000001,Good
IIS399,IGNITION COIL       ,,                      ,,17.809999999999999,Good
CU1410,IGNITION COIL       ,,                      ,,17.809999999999999,Good
12112,IGNITION COIL       ,,                      ,,21.649999999999999,Less than 5
DMB1132,IGNITION COIL       ,,                      ,,22.210000000000001,Less than 5
CP053,IGNITION COIL       ,,                      ,,13.640000000000001,Less than 5
IIS400,IGNITION COIL       ,,                      ,,21.649999999999999,Less than 5
CU1412,IGNITION COIL       ,,                      ,,21.649999999999999,Less than 5
12115,IGNITION COIL       ,,                      ,,65.5,Good
DMB2016,IGNITION COIL       ,,                      ,,67.239999999999995,Good
CP055,IGNITION COIL       ,,                      ,,41.270000000000003,Good
IIS424,IGNITION COIL       ,,                      ,,65.5,Good
CU1501,IGNITION COIL       ,,                      ,,65.5,Good
12116,IGNITION COIL       ,,                      ,,25.719999999999999,Good
DMB5033,IGNITION COIL       ,,                      ,,27.010000000000002,Good
CP056,IGNITION COIL       ,,                      ,,16.199999999999999,Good
IIS425,IGNITION COIL       ,,                      ,,25.719999999999999,Good
CU1502,IGNITION COIL       ,,                      ,,25.719999999999999,Good
12117,IGNITION COIL       ,,                      ,,44.509999999999998,Less than 5
DMB2015,IGNITION COIL       ,,                      ,,45.689999999999998,Less than 5
CP057,IGNITION COIL       ,,                      ,,28.039999999999999,Less than 5
IIS426,IGNITION COIL       ,,                      ,,44.509999999999998,Less than 5
CU1500,IGNITION COIL       ,,                      ,,44.509999999999998,Less than 5
12118,IGNITION COIL       ,,                      ,,19.870000000000001,Good
DMB1157,IGNITION COIL       ,,                      ,,20.399999999999999,Good
CP058,IGNITION COIL       ,,                      ,,12.52,Good
IIS427,IGNITION COIL       ,,                      ,,19.870000000000001,Good
CU1503,IGNITION COIL       ,,                      ,,19.870000000000001,Good
12119,IGNITION COIL       ,,                      ,,21.43,Good
DMB1160,IGNITION COIL       ,,                      ,,21.989999999999998,Good
CP059,IGNITION COIL       ,,                      ,,13.5,Good
IIS428,IGNITION COIL       ,,                      ,,21.43,Good
CU1504,IGNITION COIL       ,,                      ,,21.43,Good
12120,IGNITION COIL       ,,                      ,,24.859999999999999,Good
DMB2014,IGNITION COIL       ,,                      ,,25.52,Good
CP060,IGNITION COIL       ,,                      ,,15.66,Good
IIS429,IGNITION COIL       ,,                      ,,24.859999999999999,Good
CU1505,IGNITION COIL       ,,                      ,,24.859999999999999,Good
12121,IGNITION COIL       ,,                      ,,12.949999999999999,Good
DMB2071,IGNITION COIL       ,,                      ,,13.289999999999999,Good
CP061,IGNITION COIL       ,,                      ,,8.1600000000000001,Good
IIS430,IGNITION COIL       ,,                      ,,12.949999999999999,Good
CU1506,IGNITION COIL       ,,                      ,,12.949999999999999,Good
12122,IGNITION COIL       ,,                      ,,28.739999999999998,Good
DMB2053,IGNITION COIL       ,,                      ,,29.510000000000002,Good
CP062,IGNITION COIL       ,,                      ,,18.109999999999999,Good
IIS431,IGNITION COIL       ,,                      ,,28.739999999999998,Good
CU1507,IGNITION COIL       ,,                      ,,28.739999999999998,Good
12123,IGNITION COIL       ,,                      ,,22.16,Good
DMB2046,IGNITION COIL       ,,                      ,,22.73,Good
CP063,IGNITION COIL       ,,                      ,,13.960000000000001,Good
IIS432,IGNITION COIL       ,,                      ,,22.16,Good
CU1406,IGNITION COIL       ,,                      ,,22.16,Good
12125,IGNITION COIL       ,,                      ,,16.829999999999998,Less than 5
DMB2083,IGNITION COIL       ,,                      ,,17.27,Less than 5
CP065,IGNITION COIL       ,,                      ,,10.6,Less than 5
IIS434,IGNITION COIL       ,,                      ,,16.829999999999998,Less than 5
CU1509,IGNITION COIL       ,,                      ,,16.829999999999998,Less than 5
12126,IGNITION COIL       ,,                      ,,60,Good
DMB1155,IGNITION COIL       ,,                      ,,54.439999999999998,Good
CP040,IGNITION COIL       ,,                      ,,37.799999999999997,Good
IIS435,IGNITION COIL       ,,                      ,,60,Good
CU1510,IGNITION COIL       ,,                      ,,60,Good
12128,IGNITION COIL       ,,                      ,,63.210000000000001,Good
DMB2019,IGNITION COIL       ,,                      ,,66.370000000000005,Good
CP067,IGNITION COIL       ,,                      ,,39.82,Good
IIS437,IGNITION COIL       ,,                      ,,63.210000000000001,Good
CU1514,IGNITION COIL       ,,                      ,,63.210000000000001,Good
12129,IGNITION COIL       ,,                      ,,26.32,Good
DMB2035,IGNITION COIL       ,,                      ,,27.010000000000002,Good
CP068,IGNITION COIL       ,,                      ,,16.579999999999998,Good
IIS504,IGNITION COIL       ,,                      ,,26.32,Good
CU1511,IGNITION COIL       ,,                      ,,26.32,Good
12130,IGNITION COIL       ,,                      ,,45.600000000000001,Good
DMB2017,IGNITION COIL       ,,                      ,,46.799999999999997,Good
CP069,IGNITION COIL       ,,                      ,,28.73,Good
IIS439,IGNITION COIL       ,,                      ,,45.600000000000001,Good
CU1512,IGNITION COIL       ,,                      ,,45.600000000000001,Good
12132,WSL IGNITION COIL   ,,                      ,,79.879999999999995,Less than 5
DMB1069,IGNITION COIL       ,,                      ,,83.870000000000005,Less than 5
CP070,IGNITION COIL       ,,                      ,,50.32,Less than 5
IIS505,IGNITION COIL       ,,                      ,,79.879999999999995,Less than 5
CU1342,WSL IGNITION COIL   ,,                      ,,79.879999999999995,Less than 5
12137,IGNITION COIL       ,,                      ,,45.600000000000001,Less than 10
DMB997,IGNITION COIL       ,,                      ,,46.799999999999997,Less than 10
CP074,IGNITION COIL       ,,                      ,,28.73,Less than 10
IIS477,IGNITION COIL       ,,                      ,,45.600000000000001,Less than 10
CU1078,IGNITION COIL       ,,                      ,,45.600000000000001,Less than 10
12140,IGNITION COIL       ,,                      ,,84.150000000000006,Less than 5
DMB2066,IGNITION COIL       ,,                      ,,86.370000000000005,Less than 5
CP076,IGNITION COIL       ,,                      ,,53.009999999999998,Less than 5
IIS506,IGNITION COIL       ,,                      ,,84.150000000000006,Less than 5
CU1533,IGNITION COIL       ,,                      ,,84.150000000000006,Less than 5
12143,IGNITION COIL       ,,                      ,,40.990000000000002,Good
DMB2054,IGNITION COIL       ,,                      ,,42.079999999999998,Good
CP078,IGNITION COIL       ,,                      ,,25.82,Good
IIS443,IGNITION COIL       ,,                      ,,40.990000000000002,Good
CU1517,IGNITION COIL       ,,                      ,,40.990000000000002,Good
12144,IGNITION COIL       ,,                      ,,24.129999999999999,Good
DMB5000,IGNITION COIL       ,,                      ,,25.34,Good
CP079,IGNITION COIL       ,,                      ,,15.199999999999999,Good
IIS493,IGNITION COIL       ,,                      ,,24.129999999999999,Good
CU1521,IGNITION COIL       ,,                      ,,24.129999999999999,Good
12145,IGNITION COIL       ,,                      ,,24.129999999999999,Less than 10
DMB2037,IGNITION COIL       ,,                      ,,25.34,Less than 10
CP080,IGNITION COIL       ,,                      ,,15.199999999999999,Less than 10
IIS494,IGNITION COIL       ,,                      ,,24.129999999999999,Less than 10
CU1522,IGNITION COIL       ,,                      ,,24.129999999999999,Less than 10
12146,IGNITION COIL       ,,                      ,,27.579999999999998,Good
DMB2039,IGNITION COIL       ,,                      ,,28.960000000000001,Good
CP081,IGNITION COIL       ,,                      ,,17.379999999999999,Good
IIS495,IGNITION COIL       ,,                      ,,27.579999999999998,Good
CU1523,IGNITION COIL       ,,                      ,,27.579999999999998,Good
12149,IGNITION COIL       ,,                      ,,24.629999999999999,Good
DMB2070,IGNITION COIL       ,,                      ,,25.280000000000001,Good
CP083,IGNITION COIL       ,,                      ,,15.52,Good
IIS508,IGNITION COIL       ,,                      ,,24.629999999999999,Good
CU1536,IGNITION COIL       ,,                      ,,24.629999999999999,Good
12150,WSL IGNITION COIL   ,,                      ,,12.5,Good
DMB2040,WSL IGNITION COIL   ,,                      ,,13.130000000000001,Good
CP084,WSL IGNITION COIL   ,,                      ,,7.8799999999999999,Good
IIS497,WSL IGNITION COIL   ,,                      ,,12.5,Good
CU1525,WSL IGNITION COIL   ,,                      ,,12.5,Good
12151,IGNITION COIL       ,,                      ,,29.149999999999999,Good
DMB2067,IGNITION COIL       ,,                      ,,29.920000000000002,Good
CP085,IGNITION COIL       ,,                      ,,18.359999999999999,Good
IIS509,IGNITION COIL       ,,                      ,,29.149999999999999,Good
CU1542,IGNITION COIL       ,,                      ,,29.149999999999999,Good
12152,IGNITION COIL       ,,                      ,,41.140000000000001,1 Left
DMB2080,IGNITION COIL       ,,                      ,,42.229999999999997,1 Left
CP086,IGNITION COIL       ,,                      ,,25.920000000000002,1 Left
IIS510,IGNITION COIL       ,,                      ,,41.140000000000001,1 Left
CU1537,IGNITION COIL       ,,                      ,,41.140000000000001,1 Left
12154,IGNITION COIL       ,,                      ,,81.5,Good
DMB2027,IGNITION COIL       ,,                      ,,83.650000000000006,Good
CP088,IGNITION COIL       ,,                      ,,51.350000000000001,Good
IIS512,IGNITION COIL       ,,                      ,,81.5,Good
CU1527,IGNITION COIL       ,,                      ,,81.5,Good
12155,IGNITION COIL       ,,                      ,,26.32,Good
DMB2088,IGNITION COIL       ,,                      ,,27.010000000000002,Good
CP404,IGNITION COIL       ,,                      ,,16.579999999999998,Good
IIS513,IGNITION COIL       ,,                      ,,26.32,Good
CU1546,IGNITION COIL       ,,                      ,,26.32,Good
12158,IGNITION COIL       ,,                      ,,70.890000000000001,Less than 10
DMB5001,IGNITION COIL       ,,                      ,,72.760000000000005,Less than 10
CP091,IGNITION COIL       ,,                      ,,44.659999999999997,Less than 10
IIS516,IGNITION COIL       ,,                      ,,70.890000000000001,Less than 10
CU1524,IGNITION COIL       ,,                      ,,70.890000000000001,Less than 10
12161,IGNITION COIL       ,,                      ,,25.449999999999999,Good
DMB2084,IGNITION COIL       ,,                      ,,26.109999999999999,Good
CP092,IGNITION COIL       ,,                      ,,16.030000000000001,Good
IIS498,IGNITION COIL       ,,                      ,,25.449999999999999,Good
CU1528,IGNITION COIL       ,,                      ,,25.449999999999999,Good
12162,IGNITION COIL       ,,                      ,,61.630000000000003,Less than 5
DMB5002,IGNITION COIL       ,,                      ,,63.25,Less than 5
CP093,IGNITION COIL       ,,                      ,,38.829999999999998,Less than 5
IIS517,IGNITION COIL       ,,                      ,,61.630000000000003,Less than 5
CU1529,IGNITION COIL       ,,                      ,,61.630000000000003,Less than 5
12163,IGNITION COIL       ,,                      ,,28.649999999999999,Good
DMB2082,IGNITION COIL       ,,                      ,,30.079999999999998,Good
CP094,IGNITION COIL       ,,                      ,,18.050000000000001,Good
IIS518,IGNITION COIL       ,,                      ,,28.649999999999999,Good
CU1530,IGNITION COIL       ,,                      ,,28.649999999999999,Good
12166,IGNITION COIL       ,,                      ,,63.5,Good
DMB2057,IGNITION COIL       ,,                      ,,65.189999999999998,Good
CP097,IGNITION COIL       ,,                      ,,40,Good
IIS521,IGNITION COIL       ,,                      ,,63.5,Good
CU1540,IGNITION COIL       ,,                      ,,63.5,Good
12167,IGNITION COIL       ,,                      ,,27,Good
DMB2074,IGNITION COIL       ,,                      ,,27.710000000000001,Good
CP098,IGNITION COIL       ,,                      ,,17,Good
IIS522,IGNITION COIL       ,,                      ,,27,Good
CU1541,IGNITION COIL       ,,                      ,,27,Good
12168,IGNITION COIL       ,,                      ,,32.149999999999999,Good
DMB2062,IGNITION COIL       ,,                      ,,33,Good
CP099,IGNITION COIL       ,,                      ,,20.25,Good
IIS523,IGNITION COIL       ,,                      ,,32.149999999999999,Good
CU1543,IGNITION COIL       ,,                      ,,32.149999999999999,Good
12169,IGNITION COIL       ,,                      ,,26,Good
DMB2092,IGNITION COIL       ,,                      ,,27.300000000000001,Good
CP100,IGNITION COIL       ,,                      ,,16.379999999999999,Good
IIS524,IGNITION COIL       ,,                      ,,26,Good
CU1545,IGNITION COIL       ,,                      ,,26,Good
12170,IGNITION COIL       ,,                      ,,47.539999999999999,Less than 5
DMB2111,IGNITION COIL       ,,                      ,,48.789999999999999,Less than 5
CP101,IGNITION COIL       ,,                      ,,29.949999999999999,Less than 5
IIS525,IGNITION COIL       ,,                      ,,47.539999999999999,Less than 5
CU1544,IGNITION COIL       ,,                      ,,47.539999999999999,Less than 5
12171,IGNITION COIL       ,,                      ,,31.969999999999999,Good
DMB2060,IGNITION COIL       ,,                      ,,33.57,Good
CP102,IGNITION COIL       ,,                      ,,20.140000000000001,Good
IIS526,IGNITION COIL       ,,                      ,,31.969999999999999,Good
CU1548,IGNITION COIL       ,,                      ,,31.969999999999999,Good
12172,IGNITION COIL       ,,                      ,,24.690000000000001,Good
DMB2090,IGNITION COIL       ,,                      ,,25.920000000000002,Good
CP103,IGNITION COIL       ,,                      ,,15.550000000000001,Good
IIS527,IGNITION COIL       ,,                      ,,24.690000000000001,Good
CU1549,IGNITION COIL       ,,                      ,,24.690000000000001,Good
12173,IGNITION COIL       ,,                      ,,35.390000000000001,1 Left
DMB2108,IGNITION COIL       ,,                      ,,37.159999999999997,1 Left
CP104,IGNITION COIL       ,,                      ,,22.300000000000001,1 Left
CU1550,IGNITION COIL       ,,                      ,,35.390000000000001,1 Left
12174,IGNITION COIL       ,,                      ,,24.960000000000001,Good
DMB5003,IGNITION COIL       ,,                      ,,25.629999999999999,Good
CP402,IGNITION COIL       ,,                      ,,15.73,Good
CU1551,IGNITION COIL       ,,                      ,,24.960000000000001,Good
12175,IGNITION COIL       ,,                      ,,110.45,Less than 10
DMB2098,IGNITION COIL       ,,                      ,,115.97,Less than 10
CP403,IGNITION COIL       ,,                      ,,69.579999999999998,Less than 10
IIS559,IGNITION COIL       ,,                      ,,110.45,Less than 10
12176,IGNITION COIL       ,,                      ,,38.380000000000003,Good
DMB5004,IGNITION COIL       ,,                      ,,39.390000000000001,Good
CP405,IGNITION COIL       ,,                      ,,24.18,Good
IIS534,IGNITION COIL       ,,                      ,,38.380000000000003,Good
CU1559,IGNITION COIL       ,,                      ,,38.380000000000003,Good
12177,IGNITION COIL       ,,                      ,,16.59,Less than 5
DMB5005,IGNITION COIL       ,,                      ,,17.420000000000002,Less than 5
CP406,IGNITION COIL       ,,                      ,,10.449999999999999,Less than 5
IIS529,IGNITION COIL       ,,                      ,,16.59,Less than 5
CU1553,IGNITION COIL       ,,                      ,,16.59,Less than 5
12178,IGNITION COIL       ,,                      ,,24.690000000000001,Good
DMB2097,IGNITION COIL       ,,                      ,,25.329999999999998,Good
CP407,IGNITION COIL       ,,                      ,,15.550000000000001,Good
IIS530,IGNITION COIL       ,,                      ,,24.690000000000001,Good
CU1554,IGNITION COIL       ,,                      ,,24.690000000000001,Good
12179,IGNITION COIL       ,,                      ,,18.120000000000001,Good
DMB2113,IGNITION COIL       ,,                      ,,19.030000000000001,Good
CP408,IGNITION COIL       ,,                      ,,11.42,Good
IIS531,IGNITION COIL       ,,                      ,,18.120000000000001,Good
CU1555,IGNITION COIL       ,,                      ,,18.120000000000001,Good
12180,IGNITION COIL       ,,                      ,,31.710000000000001,Good
DMB2112,IGNITION COIL       ,,                      ,,33.299999999999997,Good
CP409,IGNITION COIL       ,,                      ,,19.98,Good
IIS528,IGNITION COIL       ,,                      ,,31.710000000000001,Good
CU1556,IGNITION COIL       ,,                      ,,31.710000000000001,Good
12181,IGNITION COIL       ,,                      ,,35.149999999999999,Good
DMB5006,IGNITION COIL       ,,                      ,,36.079999999999998,Good
CP410,IGNITION COIL       ,,                      ,,22.140000000000001,Good
IIS532,IGNITION COIL       ,,                      ,,35.149999999999999,Good
CU1557,IGNITION COIL       ,,                      ,,35.149999999999999,Good
12182,IGNITION COIL       ,,                      ,,24.649999999999999,Less than 10
DMB5007,IGNITION COIL       ,,                      ,,25.309999999999999,Less than 10
CP411,IGNITION COIL       ,,                      ,,15.529999999999999,Less than 10
IIS533,IGNITION COIL       ,,                      ,,24.649999999999999,Less than 10
CU1558,IGNITION COIL       ,,                      ,,24.649999999999999,Less than 10
12183,IGNITION COIL       ,,                      ,,20.170000000000002,Good
DMB2095,IGNITION COIL       ,,                      ,,20.710000000000001,Good
CP412,IGNITION COIL       ,,                      ,,12.710000000000001,Good
IIS535,IGNITION COIL       ,,                      ,,20.170000000000002,Good
CU1560,IGNITION COIL       ,,                      ,,20.170000000000002,Good
12185,IGNITION COIL       ,,                      ,,38.600000000000001,Good
DMB979,IGNITION COIL       ,,                      ,,39.630000000000003,Good
CP415,IGNITION COIL       ,,                      ,,24.32,Good
IIS537,IGNITION COIL       ,,                      ,,38.600000000000001,Good
CU1562,IGNITION COIL       ,,                      ,,38.600000000000001,Good
12188,IGNITION COIL       ,,                      ,,23.829999999999998,1 Left
DMB5010,IGNITION COIL       ,,                      ,,24.449999999999999,1 Left
CP418,IGNITION COIL       ,,                      ,,15.01,1 Left
IIS541,IGNITION COIL       ,,                      ,,23.829999999999998,1 Left
CU1565,IGNITION COIL       ,,                      ,,23.829999999999998,1 Left
12189,IGNITION COIL       ,,                      ,,24.609999999999999,Good
DMB988,IGNITION COIL       ,,                      ,,25.25,Good
CP419,IGNITION COIL       ,,                      ,,15.5,Good
IIS540,IGNITION COIL       ,,                      ,,24.609999999999999,Good
CU1566,IGNITION COIL       ,,                      ,,24.609999999999999,Good
12190,IGNITION COIL       ,,                      ,,55.420000000000002,Good
DMB5011,IGNITION COIL       ,,                      ,,56.890000000000001,Good
CP420,IGNITION COIL       ,,                      ,,34.909999999999997,Good
IIS542,IGNITION COIL       ,,                      ,,55.420000000000002,Good
CU1567,IGNITION COIL       ,,                      ,,55.420000000000002,Good
12191,IGNITION COIL       ,,                      ,,24.190000000000001,1 Left
DMB2107,IGNITION COIL       ,,                      ,,24.829999999999998,1 Left
CP421,IGNITION COIL       ,,                      ,,15.24,1 Left
IIS543,IGNITION COIL       ,,                      ,,24.190000000000001,1 Left
CU1568,IGNITION COIL       ,,                      ,,24.190000000000001,1 Left
12192,IGNITION COIL       ,,                      ,,28.420000000000002,Good
